ident,iata_code
EDXH,HGL
EDXJ,QHU
EDXO,PSH
EDXW,GWT
EDXY,OHR
EEKA,KDL
EEKE,URE
EEPU,EPU
EETN,TLL
EETU,TAY
EFET,ENF
EFG,EFG
EFHA,KEV
EFHF,HEM
EFHK,HEL
EFHV,HYV
EFIT,KTQ
EFIV,IVL
EFJO,JOE
EFJY,JYV
EFKA,KAU
EFKE,KEM
EFKI,KAJ
EFKJ,KHJ
EFKK,KOK
EFKS,KAO
EFKT,KTT
EFKU,KUO
EFLA,QLF
EFLP,LPP
EFMA,MHQ
EFMI,MIK
EFOU,OUL
EFPO,POR
EFRO,RVN
EFSA,SVL
EFSI,SJY
EFSO,SOT
EFTP,TMP
EFTU,TKU
EFUT,UTI
EFVA,VAA
EFVR,VRK
EFYL,YLI
EG-AUE,AUE
EGAA,BFS
EGAB,ENK
EGAC,BHD
EGAE,LDY
EGBB,BHX
EGBE,CVT
EGBJ,GLO
EGBK,ORM
EGBN,NQT
EGBP,GBA
EGCC,MAN
EGCN,DSA
EGDJ,UPV
EGDL,LYE
EGDY,YEO
EGEC,CAL
EGED,EOI
EGEF,FIE
EGEH,WHS
EGEL,COL
EGEN,NRL
EGEO,OBN
EGEP,PPW
EGER,SOY
EGES,NDY
EGET,LWK
EGEW,WRY
EGEY,CSA
EGFE,HAW
EGFF,CWL
EGFH,SWS
EGGD,BRS
EGGP,LPL
EGGW,LTN
EGHC,LEQ
EGHD,PLH
EGHE,ISC
EGHH,BOH
EGHI,SOU
EGHJ,BBP
EGHK,PZE
EGHL,QLA
EGHQ,NQY
EGHR,QUG
EGJA,ACI
EGJB,GCI
EGJJ,JER
EGKA,ESH
EGKB,BQH
EGKK,LGW
EGKM,WEM
EGKR,KRH
EGLC,LCY
EGLF,FAB
EGLK,BBS
EGLL,LHR
EGMC,SEN
EGMD,LYX
EGMH,MSE
EGMK,LYM
EGNC,CAX
EGNH,BLK
EGNJ,HUY
EGNL,BWF
EGNM,LBA
EGNO,WRT
EGNR,CEG
EGNS,IOM
EGNT,NCL
EGNV,MME
EGNX,EMA
EGOV,VLY
EGPA,KOI
EGPB,LSI
EGPC,WIC
EGPD,ABZ
EGPE,INV
EGPF,GLA
EGPH,EDI
EGPI,ILY
EGPK,PIK
EGPL,BEB
EGPM,SCS
EGPN,DND
EGPO,SYY
EGPR,BRR
EGPT,PSL
EGPU,TRE
EGPW,UNT
EGQK,FSS
EGQL,ADX
EGQS,LMO
EGSC,CBG
EGSH,NWI
EGSS,STN
EGSU,QFO
EGTB,HYC
EGTE,EXT
EGTG,FZO
EGTK,OXF
EGTO,RCS
EGUA,UHF
EGUB,BEX
EGUL,LKZ
EGUN,MHZ
EGUY,QUY
EGVA,FFD
EGVF,PME
EGVJ,BWY
EGVN,BZZ
EGVO,ODH
EGWU,NHT
EGWZ,AYH
EGXB,GSY
EGXC,QCY
EGXH,BEQ
EGXJ,OKH
EGXP,SQZ
EGXU,HRT
EGXW,WTN
EGYM,KNF
EGYP,MPN
EHAM,AMS
EHBK,MST
EHEH,EIN
EHGG,GRQ
EHGR,GLZ
EHKD,DHR
EHLE,LEY
EHLW,LWR
EHRD,RTM
EHSB,UTC
EHTW,ENS
EHVB,LID
EHWO,WOE
EIBN,BYT
EIBT,BLY
EICA,NNR
EICB,CLB
EICK,ORK
EICM,GWY
EIDL,CFN
EIDW,DUB
EIIM,IOR
EIIR,INQ
EIKK,KKY
EIKN,NOC
EIKY,KIR
EILT,LTR
EIMN,IIA
EINN,SNN
EISG,SXL
EIWF,WAT
EJN,EJN
EJT,EJT
EKAH,AAR
EKBI,BLL
EKCH,CPH
EKEB,EBJ
EKKA,KRP
EKLS,BYR
EKMB,MRW
EKOD,ODE
EKRK,RKE
EKRN,RNN
EKSB,SGD
EKSN,CNL
EKSP,SKS
EKSV,SQW
EKTS,TED
EKVG,FAE
EKVJ,STA
EKYT,AAL
ELLX,LUX
ENAL,AES
ENAN,ANX
ENAT,ALF
ENBL,FDE
ENBN,BNN
ENBO,BOO
ENBR,BGO
ENBS,BJF
ENBV,BVG
ENCN,KRS
ENDI,DLD
ENDU,BDU
ENEV,EVE
ENFB,FBU
ENFG,VDB
ENFL,FRO
ENGM,OSL
ENHA,HMR
ENHD,HAU
ENHF,HFT
ENHK,HAA
ENHV,HVG
ENKA,QKX
ENKB,KSU
ENKL,GLL
ENKR,KKN
ENLI,FAN
ENLK,LKN
ENMH,MEH
ENML,MOL
ENMS,MJF
ENNA,LKL
ENNK,NVK
ENNM,OSY
ENNO,NTB
ENOL,OLA
ENOV,HOV
ENRA,MQN
ENRM,RVK
ENRO,RRS
ENRS,RET
ENRY,RYG
ENSB,LYR
ENSD,SDN
ENSG,SOG
ENSH,SVJ
ENSK,SKN
ENSN,SKE
ENSO,SRP
ENSR,SOJ
ENSS,VAW
ENST,SSJ
ENTC,TOS
ENTO,TRF
ENVA,TRD
ENVD,VDS
ENVR,VRY
ENZV,SVG
EPBP,BXP
EPBY,BZG
EPCH,CZW
EPGD,GDN
EPKK,KRK
EPKO,OSZ
EPKT,KTW
EPKW,QEO
EPLL,LCJ
EPMO,WMI
EPOK,QYD
EPPO,POZ
EPRA,RDO
EPRZ,RZE
EPSC,SZZ
EPSK,OSP
EPSY,SZY
EPWA,WAW
EPWR,WRO
EPZG,IEG
ERT,ERT
ESDF,RNB
ESGG,GOT
ESGJ,JKG
ESGL,LDK
ESGP,GSE
ESGR,KVB
ESGT,THN
ESKK,KSK
ESKM,MXX
ESKN,NYO
ESMK,KID
ESMO,OSK
ESMQ,KLR
ESMS,MMX
ESMT,HAD
ESMX,VXO
ESND,EVG
ESNG,GEV
ESNH,HUV
ESNK,KRF
ESNL,LYC
ESNN,SDL
ESNO,OER
ESNQ,KRN
ESNS,SFT
ESNU,UME
ESNV,VHM
ESNX,AJR
ESNY,SOO
ESNZ,OSD
ESOE,ORB
ESOH,HFS
ESOK,KSD
ESOW,VST
ESP,ESP
ESPA,LLA
ESSA,ARN
ESSB,BMA
ESSD,BLE
ESSF,HLF
ESSK,GVX
ESSL,LPI
ESSP,NRK
ESST,TYF
ESSU,EKT
ESSV,VBY
ESSW,VVK
ESTA,AGH
ESUD,SQO
ESUE,IDB
ESUP,PJA
ESUT,HMV
ET-GLC,GLC
ET-SHC,SHC
ETAD,SPM
ETAR,RMS
ETAS,SEX
ETHC,ZCN
ETHF,FRZ
ETIK,ILH
ETIN,KZG
ETMN,FCN
ETNG,GKE
ETNL,RLG
ETNS,WBG
ETOU,WIE
ETSF,FEL
ETSI,IGS
ETUO,GUT
EVDA,DGP
EVLA,LPX
EVRA,RIX
EVVA,VNT
EWY,EWY
EXI,EXI
EYKA,KUN
EYKL,KLJ
EYPA,PLQ
EYPP,PNV
EYSA,SQQ
EYVI,VNO
F23,RGR
FAAB,ALJ
FAAG,AGZ
FAAL,ADY
FABE,BIY
FABL,BFN
FABU,UTE
FACC,ASS
FACD,CDO
FACT,CPT
FADK,DUK
FADQ,PZL
FAEL,ELS
FAEM,EMG
FAER,ELL
FAFB,FCB
FAGC,GCJ
FAGG,GRJ
FAGI,GIY
FAGM,QRA
FAHL,HLW
FAHR,HRS
FAHS,HDS
FAJS,JNB
FAKD,KXE
FAKM,KIM
FAKN,MQP
FAKP,KOF
FAKU,KMH
FAKZ,KLZ
FAL,FAL
FALA,HLA
FALC,LMR
FALD,LDZ
FALE,DUR
FALK,LUJ
FALO,LCD
FALW,SDB
FALY,LAY
FAMD,AAM
FAMG,MGH
FAMH,MEZ
FAMM,MBD
FAMN,LLE
FAMO,MZY
FAMU,MZQ
FANC,NCS
FANG,NGL
FANS,NLP
FAOB,OVG
FAOH,OUH
FAOR,JNB
FAPA,AFD
FAPE,PLZ
FAPG,PBZ
FAPH,PHW
FAPJ,JOH
FAPK,PRK
FAPM,PZB
FAPN,NTY
FAPP,PTG
FAPS,PCF
FAQT,UTW
FARB,RCB
FARI,RVO
FARS,ROD
FASB,SBU
FASC,ZEC
FASE,GSS
FASS,SIS
FASZ,SZK
FATH,THY
FATN,TCU
FATZ,LTA
FAUL,ULD
FAUP,UTN
FAUT,UTT
FAVB,VRU
FAVG,VIR
FAVR,VRE
FAVY,VYD
FAWB,PRY
FAWK,WKF
FBFT,FRW
FBGZ,GNZ
FBJW,JWA
FBKE,BBK
FBKR,KHW
FBLO,LOQ
FBMN,MUB
FBOR,ORP
FBPY,QPH
FBSK,GBE
FBSN,SXN
FBSP,PKW
FBSV,SVT
FBSW,SWX
FBTL,TLD
FBTS,TBY
FCBB,BZV
FCBD,DJM
FCBK,KNJ
FCBL,LCO
FCBM,MUY
FCBS,SIB
FCBY,NKY
FCBZ,ANJ
FCMM,MSX
FCOB,BOE
FCOD,OLL
FCOE,EWO
FCOG,GMM
FCOI,ION
FCOK,KEE
FCOM,MKJ
FCOO,FTX
FCOS,SOE
FCOT,BTB
FCOU,OUE
FCPA,KMK
FCPL,DIS
FCPP,PNR
FDMS,MTS
FDSK,SHO
FEA,FEA
FEFC,CRF
FEFF,BGF
FEFG,BGU
FEFI,IRO
FEFM,BBY
FEFN,NDL
FEFO,BOP
FEFR,BIV
FEFS,BSN
FEFT,BBT
FEFW,ODA
FEFY,AIG
FEFZ,IMO
FEGE,MKI
FEGF,BTG
FEGL,GDI
FEGM,BMF
FEGO,ODJ
FEGR,RFA
FEGU,BCF
FEGZ,BOZ
FGAB,NBN
FGBT,BSG
FGMY,GEM
FGSL,SSG
FHAW,ASI
FHSH,HLE
FIMP,MRU
FIMR,RRG
FIN,FIN
FJDG,NKW
FKAN,NKS
FKKB,KBI
FKKC,TKC
FKKD,DLA
FKKF,MMF
FKKG,BLC
FKKH,KLE
FKKI,OUR
FKKJ,GXX
FKKL,MVR
FKKM,FOM
FKKN,NGE
FKKO,BTA
FKKR,GOU
FKKS,DSC
FKKU,BFX
FKKV,BPC
FKKW,EBW
FKKY,YAO
FKYS,NSI
FLBA,MMQ
FLCP,CIP
FLE,FLE
FLJK,JEK
FLKE,CGJ
FLKL,KLB
FLKO,KMZ
FLKS,KAA
FLKY,ZKB
FLLI,LVI
FLLK,LXU
FLLS,LUN
FLMA,MNS
FLMF,MFU
FLMG,MNR
FLNA,ZGM
FLND,NLA
FLRZ,RYL
FLSN,SXG
FLSO,KIW
FLSS,SJQ
FLSW,SLI
FLT,FLT
FLZB,BBZ
FM-ULI,ULI
FMCH,HAH
FMCI,NWA
FMCN,YVA
FMCV,AJN
FMCZ,DZA
FMEE,RUN
FMEP,ZSE
FMMC,WML
FMME,ATJ
FMMG,WAQ
FMMH,VVB
FMMI,TNR
FMMK,JVA
FMML,BMD
FMMN,ZVA
FMMO,MXT
FMMQ,ILK
FMMR,TVA
FMMS,SMS
FMMT,TMM
FMMU,WTA
FMMV,MOQ
FMMX,WTS
FMMY,VAT
FMMZ,WAM
FMNA,DIE
FMNB,WBE
FMNC,WMR
FMND,ZWA
FMNE,AMB
FMNF,WBD
FMNG,WPB
FMNH,ANM
FMNL,HVA
FMNM,MJN
FMNN,NOS
FMNO,DWB
FMNP,WMP
FMNQ,BPY
FMNR,WMN
FMNS,SVB
FMNT,TTS
FMNV,VOH
FMNW,WAI
FMNX,WMA
FMNZ,IVA
FMSB,WBO
FMSC,WMD
FMSD,FTU
FMSF,WFI
FMSG,RVA
FMSI,IHO
FMSJ,MJA
FMSK,WVK
FMSL,OVA
FMSM,MNJ
FMSN,TDV
FMSR,MXM
FMST,TLE
FMSU,VND
FMSV,BKU
FMSY,AMP
FMSZ,WAK
FNAM,AZZ
FNBC,SSY
FNBG,BUG
FNBL,GGC
FNCA,CAB
FNCF,CFF
FNCH,PGI
FNCT,CBT
FNCV,CTI
FNCX,CXM
FNCZ,CAV
FNDU,DUE
FNE,FNE
FNGI,VPE
FNHU,NOV
FNKU,SVP
FNLK,LBZ
FNLU,LAD
FNLZ,LZM
FNMA,MEG
FNME,SPP
FNMO,MSZ
FNNG,GXG
FNPA,PBN
FNSA,VHC
FNSO,SZA
FNSU,NDD
FNUA,UAL
FNUB,SDD
FNUE,LUO
FNUG,UGO
FNWK,CEO
FNXA,XGN
FNZE,ARZ
FNZG,NZA
FOGB,BGB
FOGE,KDN
FOGF,FOU
FOGG,MBC
FOGI,MGX
FOGJ,KDJ
FOGK,KOU
FOGM,MJL
FOGO,OYE
FOGQ,OKN
FOGR,LBQ
FOGV,MVX
FOOB,BMM
FOOD,MFF
FOOE,MKB
FOOG,POG
FOOH,OMB
FOOI,IGE
FOOK,MKU
FOOL,LBV
FOOM,MZC
FOON,MVB
FOOR,LTL
FOOS,ZKM
FOOT,TCH
FOOY,MYB
FOY,FOY
FPPR,PCP
FPST,TMS
FQAG,ANO
FQBR,BEW
FQCB,FXO
FQCH,VPY
FQIA,IHC
FQIN,INH
FQLC,VXC
FQLU,LFB
FQMA,MPM
FQMD,MUD
FQMP,MZB
FQNC,MNC
FQNP,APL
FQPB,POL
FQPO,PDD
FQQL,UEL
FQTT,TET
FQVL,VNX
FQXA,VJB
FR-0321,BVE
FR-JCA,JCA
FSDR,DES
FSIA,SEZ
FSL,FSL
FSN,FSN
FSPP,PRI
FSSB,BDI
FSSD,DEI
FSSF,FRK
FTTA,SRH
FTTB,OGR
FTTC,AEH
FTTD,MQQ
FTTH,LTC
FTTI,ATV
FTTJ,NDJ
FTTK,BKR
FTTL,OTC
FTTM,MVO
FTTN,AMC
FTTP,PLF
FTTS,OUT
FTTU,AMO
FTTY,FYT
FUB,FUB
FVBM,BZH
FVBU,BUQ
FVCH,CHJ
FVCZ,BFO
FVFA,VFA
FVHA,HRE
FVKB,KAB
FVMH,MJW
FVMU,UTA
FVMV,MVZ
FVTL,GWE
FVWN,HWN
FVWT,WKI
FWCD,CEH
FWCL,BLZ
FWCM,CMK
FWDW,DWA
FWKA,KGJ
FWKG,KBQ
FWKI,LLW
FWLK,LIX
FWMG,MAI
FWMY,MYZ
FWSM,LMB
FWUU,ZZU
FXLK,LEF
FXLR,LRB
FXLS,LES
FXMF,MFC
FXMK,MKH
FXMM,MSU
FXNK,NKU
FXPG,PEL
FXQG,UTG
FXQN,UNE
FXSH,SHK
FXSK,SKQ
FXSM,SOK
FXSS,SHZ
FXTA,THB
FXTK,TKO
FYAA,AIW
FYAR,ADI
FYGB,GOG
FYGF,GFY
FYHI,HAL
FYKB,KAS
FYKM,MPA
FYKT,KMP
FYLS,LHU
FYLZ,LUD
FYME,MJO
FYMG,MQG
FYMO,OKU
FYNA,NNI
FYOA,OND
FYOE,OMG
FYOG,OMD
FYOO,OKF
FYOP,OPW
FYOS,OHI
FYOW,OTJ
FYRU,NDU
FYSA,RHN
FYSM,SWP
FYSS,SZM
FYTE,TCY
FYTM,TSB
FYWB,WVB
FYWE,ERS
FYWH,WDH
FZAA,FIH
FZAB,NLO
FZAG,MNB
FZAJ,BOA
FZAL,LZI
FZAM,MAT
FZAR,NKL
FZBA,INO
FZBI,NIO
FZBO,FDU
FZBT,KRZ
FZCA,KKW
FZCB,IDF
FZCE,LUS
FZCV,MSM
FZEA,MDK
FZEN,BSU
FZFA,LIE
FZFD,BDT
FZFK,GMA
FZFP,KLI
FZFU,BMB
FZGA,LIQ
FZGN,BNB
FZGV,IKL
FZIC,FKI
FZIR,YAN
FZJH,IRP
FZKA,BUX
FZKJ,BZU
FZMA,BKY
FZMB,RUE
FZNA,GOM
FZNP,BNC
FZOA,KND
FZOD,KLY
FZOP,PUN
FZQA,FBM
FZQC,PWO
FZQG,KEC
FZQM,KWZ
FZRA,MNO
FZRB,BDV
FZRF,FMI
FZRM,KBO
FZRQ,KOO
FZSA,KMN
FZSK,KAP
FZTK,KNM
FZUA,KGA
FZUG,LZA
FZUK,TSH
FZVA,LJA
FZVI,LBO
FZVM,MEW
FZVR,BAN
FZVS,PFR
FZWA,MJM
FZWC,GDJ
FZWT,KBN
GA-AKE,AKE
GA-GAX,GAX
GAB,GAB
GABS,BKO
GAGM,GUD
GAGO,GAQ
GAKA,KNZ
GAKO,KTX
GAKY,KYS
GAMB,MZI
GANK,NRM
GANR,NIX
GASK,KSS
GATB,TOM
GAYE,EYL
GAZ,GAZ
GB-0070,HOY
GB-DOC,DOC
GB-FLH,FLH
GB-FOA,FOA
GB-OUK,OUK
GB-PSV,PSV
GBM,GBM
GBYD,BJL
GCFV,FUE
GCGM,GMZ
GCHI,VDE
GCLA,SPC
GCLP,LPA
GCRR,ACE
GCTS,TFS
GCV,GCV
GCXO,TFN
GDA,GDA
GECE,JCU
GEML,MLN
GEW,GEW
GFBN,BTE
GFBO,KBS
GFD,GFD
GFGK,GBK
GFHA,HGS
GFKB,KBA
GFKE,KEN
GFLL,FNA
GFYE,WYE
GGBU,BQE
GGOV,OXB
GHE,GHE
GL-JGR,JGR
GL-QCU,QCU
GLBU,UCN
GLCP,CPA
GLGE,SNI
GLMR,MLW
GLNA,NIA
GLP,GLP
GLRB,ROB
GLST,SAZ
GLTN,THC
GLVA,VOI
GMAD,AGA
GMAT,TTA
GMAZ,OZG
GMFB,UAR
GMFF,FEZ
GMFK,ERH
GMFM,MEK
GMFO,OUD
GMMA,SMW
GMMB,GMD
GMMC,CAS
GMMD,BEM
GMME,RBA
GMMF,SII
GMMH,VIL
GMMI,ESU
GMML,EUN
GMMN,CMN
GMMS,SFI
GMMW,NDR
GMMX,RAK
GMMY,NNA
GMMZ,OZZ
GMQ,GMQ
GMTA,AHU
GMTN,TTU
GMTT,TNG
GNU,GNU
GOBD,DSS
GOC,GOC
GODK,KDA
GOGG,ZIG
GOGS,CSK
GOOK,KLC
GOOY,DKR
GOSM,MAX
GOSP,POD
GOSR,RDT
GOSS,XLS
GOTB,BXE
GOTK,KGG
GOTS,SMY
GOTT,TUD
GQNA,AEO
GQNB,OTL
GQNC,THI
GQND,TIY
GQNE,BGH
GQNF,KFA
GQNH,TMD
GQNI,EMN
GQNJ,AJJ
GQNK,KED
GQNL,MOM
GQNO,NKC
GQNS,SEY
GQNT,THT
GQPA,ATR
GQPF,FGD
GQPP,NDB
GQPZ,OUZ
GRC,GRC
GRH,GRH
GSZ,GMT
GT-0001,CIQ
GT-0002,DON
GT-0003,ENJ
GT-0004,PCG
GT-0006,TKM
GT-0007,UAX
GT-PKJ,PKJ
GTZ,GTZ
GUCY,CKY
GUE,GUE
GUFA,FIG
GUFH,FAA
GUKU,KSI
GULB,LEK
GUMA,MCA
GUNZ,NZE
GUOK,BKJ
GUSB,SBI
GUSI,GII
GUXN,KNN
GVAC,SID
GVAN,NTO
GVBA,BVC
GVE,GVE
GVMA,MMO
GVMT,MTI
GVNP,RAI
GVSF,SFL
GVSN,SNE
GVSV,VXE
GWN,GWN
GWW,GWW
GY-BCG,BCG
GY-BTO,BTO
GY-DOE,DOE
GY-LDO,LDO
GY-WSO,WSO
HAAB,ADD
HAAM,AMH
HAAX,AXU
HABC,BCO
HABD,BJR
HABE,BEI
HADB,DGC
HADC,DSE
HADD,DEM
HADM,DBM
HADR,DIR
HADT,DBT
HAFN,FNH
HAGB,GOB
HAGH,GNN
HAGM,GMB
HAGN,GDQ
HAGO,GDE
HAGR,GOR
HAHM,QHR
HAHU,HUE
HAJJ,JIJ
HAJM,JIM
HAKD,ABK
HAKL,LFO
HALA,AWA
HALL,LLI
HAMA,MKS
HAMK,MQX
HAMM,ETE
HAMN,NDM
HAMR,MUJ
HAMT,MTF
HANG,EGL
HANJ,NEJ
HANK,NEK
HAPW,PWI
HASD,SXU
HASK,SKR
HASM,SZE
HASO,ASO
HATP,TIE
HAWC,WAC
HAWR,WRA
HAY,HAY
HAZ,HAZ
HBBA,BJM
HBBE,GID
HBBO,KRE
HBT,HBT
HCMA,ALU
HCMB,BIB
HCMC,CXN
HCMD,BSY
HCME,HCM
HCMF,BSA
HCMG,GSR
HCMH,HGA
HCMI,BBO
HCMJ,LGX
HCMK,KMU
HCMM,MGQ
HCMN,BLW
HCMO,CMO
HCMR,GLK
HCMS,CMS
HCMU,ERA
HCMV,BUO
HCMW,GGR
HDAM,JIB
HDAS,AII
HDMO,MHI
HDOB,OBC
HDTJ,TDJ
HE13,CCE
HE24,SEW
HE25,EMY
HE40,SQK
HEAL,DBB
HEAR,AAC
HEAT,ATZ
HEAX,ALY
HEBA,HBE
HEBL,ABS
HECA,CAI
HECW,CWE
HEDK,DAK
HEGN,HRG
HEGR,EGH
HEKG,UVL
HELX,LXR
HEMA,RMF
HEMK,HMB
HEMM,MUH
HEO,HEO
HEOW,GSQ
HEPS,PSD
HESC,SKV
HESH,SSH
HESN,ASW
HETB,TCP
HETR,ELT
HEY,HEY
HGT,HGT
HHAS,ASM
HHMS,MSW
HHSB,ASA
HHTS,TES
HI01,HPV
HI07,WKL
HIA,HIA
HIL,HIL
HKAM,ASV
HKB,HKB
HKEL,EDL
HKES,EYS
HKFG,KLK
HKGA,GAS
HKHO,HOA
HKJK,NBO
HKKE,KEU
HKKG,GGM
HKKI,KIS
HKKL,ILU
HKKR,KEY
HKKT,KTL
HKLK,LKG
HKLO,LOK
HKLU,LAU
HKLY,LOY
HKMA,NDE
HKMB,RBT
HKML,MYD
HKMO,MBA
HKMS,MRE
HKMY,OYL
HKNI,NYE
HKNK,NUU
HKNW,WIL
HKNY,NYK
HKSB,UAS
HKUK,UKA
HKWJ,WJR
HLGD,SRX
HLGN,TOB
HLGT,GHT
HLKF,AKF
HLLB,BEN
HLLM,MJI
HLLQ,LAQ
HLLS,SEB
HLLT,TIP
HLMB,LMQ
HLON,HUQ
HLTD,LTD
HLZN,ZIS
HLZW,WAX
HN-MUG,EDQ
HNE,HNE
HOO,HOO
HRC,HRC
HRYG,GYI
HRYI,BTQ
HRYR,KGL
HRYU,RHG
HRZA,KME
HSAT,ATB
HSDB,EDB
HSDN,DOG
HSDZ,RSS
HSFA,HGI
HSFS,ELF
HSGF,GSU
HSGG,DNX
HSGN,EGN
HSHG,HEG
HSJ,HSJ
HSKA,KSL
HSKG,GBU
HSKI,KST
HSLI,KDX
HSMK,RBX
HSMN,MWE
HSNH,NUD
HSNN,UYL
HSNW,NHF
HSOB,EBD
HSPN,PZU
HSSJ,JUB
HSSM,MAK
HSSS,KRT
HSSW,WHF
HSWD,DNI
HSWW,WUU
HSZA,ZLX
HTAR,ARK
HTBU,BKZ
HTDA,DAR
HTDO,DOD
HTGW,MBI
HTIR,IRI
HTKA,TKQ
HTKI,KIY
HTKJ,JRO
HTLI,LDI
HTLM,LKY
HTM,HTM
HTMA,MFA
HTMD,MWN
HTMI,XMI
HTMS,QSI
HTMT,MYW
HTMU,MUZ
HTMW,MWZ
HTNA,NCH
HTNJ,JOM
HTPE,PMA
HTSN,SEU
HTSO,SGX
HTSU,SUT
HTSY,SHY
HTTB,TBO
HTTG,TGT
HTZA,ZNZ
HUAR,RUA
HUEN,EBB
HUGU,ULU
HUJI,JIN
HUKC,KLA
HUKF,PAF
HUKS,KSE
HUMA,MBQ
HUMI,KCU
HUSO,SRT
HUTO,TRY
HWA,HWA
HYL,HYL
IBI,IBI
IBL,IBL
ICO,ICO
ID-0003,PPJ
ID-0006,JBB
ID-0011,BWX
ID-0017,AAP
ID-0169,BXW
ID-AAS,AAS
ID-AGD,AGD
ID-AKQ,AKQ
ID-AYW,AYW
ID-BJG,BJG
ID-BXM,BXM
ID-DRH,DRH
ID-ELR,ELR
ID-EWE,EWE
ID-FOO,FOO
ID-GAV,GAV
ID-IUL,IUL
ID-KBF,KBF
